character_id,character_name,character_description,base_stats,bg,skill_1,skill_2,skill_3,skill_4
milena,Milena,"Tanky warriorof character",3-1-1-3-1-2,bg1_sun,divine_favor,bless,aura_of_purity
rose,Rose,"balanced_warrior",1-2-1-2-1-2,bg1_sun,aid,burning_hands,daylight
aurora,Aurora,"assasin planner",1-2-1-2-1-2,bg1_sun,invisibility,elegant_counter,grasping_vine,wind_walk,gust_of_wind
yuki,Yuki,"winsowrdmaster",1-2-1-2-1-2,bg1_sun,wind_walk,gust_of_wind,storm_of_cuts
sophia,Sophia,"reliable warrior",1-2-1-2-1-2,bg1_sun,heroism,heroes_feast,smite
brielle,Brielle,"ealer of light",1-2-1-2-1-2,bg1_sun,heal,lighting_shield,guardian_of_faith
giaa,Giaa,"fighter of the sands",1-2-1-2-1-2,bg1_sun,poison_wound,plague_poison_wound,circle_of_life
jazmin,Jazmin,"Archer of of the sands",1-2-1-2-1-2,bg1_sun,levitate,hunters_mark,wind_wall
grukthar,Grukthar,"Orc Monk Fighter",1-2-1-2-1-2,bg1_sun,haste,jump,ki_strike
wulfric,Wulfric,"Warrior of the Wild",1-2-1-2-1-2,bg1_sun,true_strike,thunderous_smite,dominaition
airdan,Airdan,"Wizard of the Arcane",1-2-1-2-1-2,bg1_sun,conjure_druid_armor,daylight,druidcraft
sihnion,Sihnion,"Water Protector",1-2-1-2-1-2,bg1_sun,bane_strike,water_sanctum,resurrection
yuxin,Yuxin,"Martial Artist",1-2-1-2-1-2,bg1_sun,shield,silence,blink





