id,character,state,
1,milena,idle
2,milena,happy
3,rose,idle
4,rose,happy
5,aurora,idle
6,aurora,happy
7,yuki,idle
8,yuki,happy
9,sophia,idle
10,sophia,happy
11,brielle,idle
12,brielle,happy
13,giaa,idle
14,giaa,happy
15,jazmin,idle
16,jazmin,happy
17,bg1_sun
18,bg2_winter
19,bg3_dark
20,bg4_grasscastle
21,bg5_dust
22,bg6_ocean
23,bg7_town
24,bg8_bambu
25,grukthar,idle
26,grukthar,happy
27,Wulfric,idle
28,Wulfric,happy
48,airdan
49,airdan
34,sihnion
35,sihnion
36,yuxin
37,yuxin
40,yuhang
41,yuhang
42,junjie
43,junjie
44,rakthan
45,rakthan
46,skadi
47,skadi
50,jinzo
51,jinzo
52,claire
53,claire
54,charles
55,charles
